sku,name,price,quantity,description
29376, ALOE VERA C/60 CAPS  UNI ERVAS,29.05,49,NATURE
29898, AMOX+CLAV 875MG/125MG C/20 CPR LEGRAND,109.75,4,LEGRAND
31429," ASEA HCT 40+12,5MG 30 CPS",92.26,0,SUPERA
30646, ASPIRADOR NASAL LOLLY SUCCAO UND,33.95,49,LOLLY
32168, ATENTAH 18MG C/30 CAPS,59.64,0,APSEN
31022, ATENTAH 25MG C/30 CAPS,82.86,4,APSEN
31097, ATENTAH 40MG C/30 CPS,132.58,4,APSEN
31620, ATM MATERNA AUDACE C NATURAL ESCURO,262.5,0,DIVERSAS
30042, BAND-AID VARIADOS CURAT C/ 30,0.8,49,DIVERSAS
30977, BATOM LIQUIDO MOOD HB566S2BX SATIS RUBY,14.15,4,RUBYROSE
29118, BEDOZE SOL INJ 1 AMP 5MG/ML  ,24.5,4,EUROFARMA
29380, BERINGELA PURA C/60  CAPS UNI ERVAS,25.0,49,DIVERSAS
32360, BODY SPLASH ATHINA 200ML,22.0,0,DIVERSAS
2598, BOMBOM OURO BRANCO UN,1.5,49,DIVERSAS
5746, BOMBOM SERENATA DE AMOR,1.5,49,DIVERSAS
25934, BRIMONIDINA TART 2MG/ML 5ML ,21.45,4,TEUTO
29817, BRUMA ILUMINADORA PRATA  PHALLEBEAUTY,20.0,4,DIVERSAS
30484, BYE BYE FEVER ADESI ADULTO 2UN  ,15.3,49,HISAMITSU
29876, CALDE MDK 1.000 UI C/30 CPS  ,80.0,49,MARJAN FARMA
25724, CARTILIV C/60 CPS,97.95,49,ALTHAIA
22169, CHA DE SENE 100G,5.5,49,NATURE
31087, CHUP SMART BICO RED TM1 ROSA 01,18.0,49,DIVERSAS
31535, CHUPETA  FIONA SOFT 100% SIL ANATOMIC TM,22.42,0,FIONA
31536, CHUPETA  FIONA SOFT 100% SIL ANATOMIC TM,22.42,0,FIONA
31088, CHUPETA SMART B. RED.2,16.49,49,DIVERSAS
25955, CIPROTERONA + ETINILESTRADIOL 2+0.035 MG C/21CPS,15.88,4,MELCOM
5870, CLOR SERTRALINA 50MG C/30CP NOVA QUIMICA,18.5,4,NOVA QUIMICA
29046, CLOTRIMIX C/CLOTRIMAZOL UNHAS 7ML  ,59.6,4,FQM
29377, COLAGENO COM VITAMINA C C/60 CAPS UNI ,36.38,49,NATURE
32241, CR DENT COLG T12 CM UN 90G,12.8,0,COLGATE
31616, CR NITRATO DE MICONAZOL 30 GRS,11.0,0,NATIVITA
32344, CUTISANOL BABY CR 45G   ,25.9,0,DIVERSAS
33126, DERMOTIVIN SOFT SAB LIQ 120ML   ,64.3,0,DIVERSAS
31175, DESOD AERO MENTOS  FRUIT 150ML,9.0,0,DIVERSAS
33964, DESOD CREME GIOVANA BABY  BLUE 60G,13.0,0,DIVERSAS
30368, DIACQUA 25MG C/30 CPS  ,30.36,4,MOMENTA
30186, DIPIRONA MONOIDRATADA 1000MG 20 CPS ,10.56,4,PRATI DONADUZZI
33410," DORZAL MT 2/0,5MG SOL OFT 5ML   ",120.27,0,LEGRAND
29663, DPREV 10.000 UI C/8 MYRA ,49.18,4,MYRALIS 
12196, ELASTICO COLORIDOS PCT ,6.8,49,DIVERSAS
31558, EPISOL COLOR TOM 2 CLARO FPS70  ,120.9,0,MANTECORP
30032," ESM DAILUS MENTOS CREM RED FRUIT 7,5ML",10.5,4,DAILUS
29631, FAMOX 40MG C/30 CPS  ACHE,112.21,4,ACHÉ LABORATORIOS FARMACEUTICOS S.A.
29384, FARINHA SECA BARRIGA + GOJI BERRY + COLAG,24.0,49,NATURE
29219, FIO DENTAL KESS FOSSER C/30 UN,12.3,49,KESS
31200, FIO DENTAL PREDENT WOMAN 100M 01,4.5,0,DIVERSAS
30479, FLUCONAZOL 150MG 2 CAPS ,4.55,4,PRATI DONADUZZI
30485, FUMASIL 300MG C/60 CPS  FQM ,94.95,4,FQM
32516, FUROSEMIDA 40MG 30 CPS PRATI,6.0,0,PRATI DONADUZZI
33086, GAZE CICATRISAN ESTERIL  C/10 UN,7.7,0,DIVERSAS
31292, HIDRAT LABOTRAT190ML DIA/DIA MELANCIA,28.2,0,LABORIS
31337, INZELM 20MG 30CPR   ,254.48,0,TAKEDA PHARMA
31336, IVERMECTINA 6 MG 4 CPS ,6.6,0,PRATI DONADUZZI
32145, KIT CORT UNHEX SPORT MERHEJE ,25.0,0,MERHEJE
29092, LAPIS P/ OLHOS GRIFFTY MADEIRA PRETO,11.15,4,DIVERSAS
