sku;name;quantity;price
7899790928662;.ABAJUR ALFACELL AL55025;4;111,04
7908153029110;.ABAJUR FIX 74244;2;97,08
SEM GTIN;.ABELHATA MOMBO BABY 371;1;47,19
7898539430626;.ANIMAIS JURASSICOS AKT3061;1;23,35
SEM GTIN;.ANTENA PARAB. SKY LIVRE CONFOTO;2;622,09
SEM GTIN;.ANTENA PARAB. VIVENSIS;2;398,8
SEM GTIN;.APARADOR INFINITY DECOR ARGOS;1;997,96
SEM GTIN;.APARADOR VALDEMOVEIS BELISSIMA;3;361,39
SEM GTIN;.ARMARIO MULTI-USO VALDEMOVEIS ASTECA ;11;444,31
SEM GTIN;.ARMARIO MULTI-USO VALDEMOVEIS FLEX ;3;335,83
SEM GTIN;.ARMARIO MULTI-USO VALDEMOVEIS JOAO PESS;4;654,37
7908281357901;.ARVORE NATAL CALENDARIO 1117;1;42,75
7898521370053;.ASPIRADOR DE PO 8097;4;49
7899110632231;.ASSADEIRA DE VIDRO FRATELLI 3L 9112231;1;64,1
7898002434823;.AVIAO BS PLANE 482;3;25,19
7898002434830;.AVIAO BS PLANE 483;6;16,02
7898002434977;.AVIAO BS PLANE PUSH 497;4;37,17
SEM GTIN;.BALCAO VALDEMOVEIS COOKTOP TERESINA;3;428,74
SEM GTIN;.BALCAO VALDEMOVEIS SAO LUIS ;1;527,92
7898903979072;.BALDINHO SUPER 100PCS 1700;1;55,77
SEM GTIN;.BANCADA VALDEMOVEIS MANAUS ;3;758,73
7908281301843;.BANDEIJA NATALINA 12001;1;8,62
7908281301881;.BANDEIJA NATALINA 12005;3;12,06
;.BANQUETA ANTARES ARAXA;2;23,75
SEM GTIN;.BANQUETA GOLDLAR BQ801;4;225,27
SEM GTIN;.BANQUETA SOMA IZA;1;126,29
;.BAU PUFF NORDESTE 60/30;3;90,8
SEM GTIN;.BAU PUFF NORDESTE 60/40;2;90,77
SEM GTIN;.BERCO MINI TIGUS RUBI;2;296,85
