sku;INTERNO;name;quantity;price;;;
7899790928662;4438;.ABAJUR ALFACELL AL55025;4;111,04;;;
6945838724695;17354;.ABAJUR DE MESA 72469;0;97,08;;;
7908153029110;15564;.ABAJUR FIX 74244;2;97,08;;;
SEM GTIN;14020;.ABELHATA MOMBO BABY 371;1;47,19;;;
7898521378196;16353;.AIR FRYER DA PRINCESA 7911;0;67,73;;;
7898521374341;11099;.AIR FRYER KIDS 2508;0;31,48;;;
840080546667;17092;.ALEXA 4 GERACAO B7W64E;0;428,02;;;
840080560717;17093;.ALEXA 5 GERACAO 10:09:F9:B6:1F:AD;0;589,03;;; 
840268907235;19357;.ALEXA ECHO POP C2H4R9;0;433,38;;;
810014301358;20508;.ALEXA ECHO SHOW 4C:53:FD:20:94:6E;0;868,2;;;
SEM GTIN;16833;.ALMOFADA 60/60 FIBRA NORDESTE ;0;52,85;;;
7898929279910;9674;.ALMOFADA SAPO;1;58,91;;;
7898539430626;14917;.ANIMAIS JURASSICOS AKT3061;1;23,35;;;
SEM GTIN;1975;.ANTENA PARAB. ELSYS ;0;628,44;;;
SEM GTIN;14379;.ANTENA PARAB. SKY LIVRE CONFOTO;2;622,09;;;
SEM GTIN;18435;.ANTENA PARAB. VIVENSIS;2;398,8;;;
SEM GTIN;22599;.APARADOR INFINITY DECOR ARGOS;1;997,96;;;
SEM GTIN;22598;.APARADOR INFINITY DECOR MEGARA;0;885,5;;;
SEM GTIN;16233;.APARADOR VALDEMOVEIS BELISSIMA;3;361,39;;;
7899755637790;23436;.ARCO MOLAS PAPAI NOEL 1012;24;9,84;;;
SEM GTIN;18899;.ARMARIO MULTI-USO IMOP MASTER;0;354,17;;;
SEM GTIN;12996;.ARMARIO MULTI-USO VALDEMOVEIS ASTECA ;11;444,31;;;
SEM GTIN;12993;.ARMARIO MULTI-USO VALDEMOVEIS FLEX ;3;335,83;;;
SEM GTIN;19113;.ARMARIO MULTI-USO VALDEMOVEIS JOAO PESS;4;654,37;;;
SEM GTIN;18847;.ARMARIO MULTI-USO VALDEMOVEIS NATAL ;0;352,02;;;
SEM GTIN;24942;.ARMARIO VALDEMOVEIS CANASTRA;0;937,21;;;
SEM GTIN;12781;.ARMARIO XXX MULTI-USO IMOP CRISTAL;0;297,58;;;
SEM GTIN;12997;.ARMARIO XXXMULTI-USO VALDEMOVEIS CAPRI;0;297,9;;;
SEM GTIN;5766;.ARMARIO XXXULTI-USO VALDEMOVEIS VERONA ;0;695,38;;;
SEM GTIN;14113;.ARVORE NATAL 0,60CM 10060;0;20,31;;;
SEM GTIN;14115;.ARVORE NATAL 0,90CM 10090;0;39,74;;;
SEM GTIN;5539;.ARVORE NATAL 1.20CM 10120;0;56,19;;;
SEM GTIN;14116;.ARVORE NATAL 1.80CM 10180;0;201,32;;;
7908281357901;23438;.ARVORE NATAL CALENDARIO 1117;1;42,75;;;
7899755660149;14111;.ARVORE NATAL NEVADA 0,60CM 12060;0;17,38;;;
SEM GTIN;20168;.ARVORE NATAL NEVADA 0,90M 12090;0;38,76;;;
7898521370053;20914;.ASPIRADOR DE PO 8097;4;49;;;
7899790916058;11370;.ASSADEIRA DE VIDRO CASITA CA122237;1;35,56;;;
7899110632231;12121;.ASSADEIRA DE VIDRO FRATELLI 3L 9112231;1;64,1;;;
7898631551052;16360;.ATIRADOR BASTING SHOOTER 5093 5091;0;37,78;;;
7898631551076;11925;.ATIRADOR COM ALVO SHOOTER 5093;0;37,79;;;
7898002434823;13687;.AVIAO BS PLANE 482;3;25,19;;;
7898002434830;13688;.AVIAO BS PLANE 483;6;16,02;;;
7898002434977;16358;.AVIAO BS PLANE PUSH 497;4;37,17;;;
SEM GTIN;14133;.AVIAO VAI E VOLTA 597S;0;9,37;;;
7897020208676;16351;.BABY REX COFRINHO 867;0;30,15;;;
7898639382351;19098;.BABY SUPRISE 8235;0;143,7;;;
7898933917723;15373;.BACIA CANELADA DIEGO 80L ;1;66,03;;;
SEM GTIN;16841;.BACIA CANELADA NORDESTE GG ;2;73,57;;;
7898639380432;11085;.BALANCINHO UNICORNIO 8043;0;55,12;;;
SEM GTIN;9107;.BALCAO VALDEMOVEIS COOKTOP TERESINA;3;428,74;;;
SEM GTIN;18848;.BALCAO VALDEMOVEIS SAO LUIS ;1;527,92;;;
7898903979072;20917;.BALDINHO SUPER 100PCS 1700;1;55,77;;;
7898903979065;5673;.BALDINHO SUPER 40PCS 1600, 1400;0;33,78;;;
SEM GTIN;6994;.BANCADA VALDEMOVEIS MANAUS ;3;758,73;;;
7908281301843;17150;.BANDEIJA NATALINA 12001;1;8,62;;;
;17153;.BANDEIJA NATALINA 12002;0;9,82;;;
7908281301881;20167;.BANDEIJA NATALINA 12005;3;12,06;;;
SEM GTIN;16788;.BANDEIRA DO BRASIL 60CM 4377;0;1,07;;;
SEM GTIN;16789;.BANDEIRA DO BRASIL 90/50 3817;0;27,46;;;
SEM GTIN;20887;.BANHO BEBE UNICORNIO PLAY TIME 2279;0;64,22;;;
;14920;.BANQUETA ANTARES ARAXA;2;23,75;;;
7898329965192;6998;.BANQUETA ARCOS 13940;0;29,01;;;
SEM GTIN;20699;.BANQUETA GOLDLAR BQ801;4;225,27;;;
SEM GTIN;12881;.BANQUETA GOLDLAR BQ821;0;229,4;;;
SEM GTIN;16720;.BANQUETA SOMA IZA;1;126,29;;;
;20843;.BARBEADOR HAIR TRIMMER 3020;0;41,07;;;
7898631553315;13698;.BARRACA PONEI 5300;0;189,07;;;
7899755694014;18970;.BATEDOR DE OVOS RETRATIL CLA08041;0;9,9;;;
SEM GTIN;14006;.BAU L & A ESTOF. VIENA 1,40;0;422,02;;;
;11957;.BAU PUFF NORDESTE 60/30;3;90,8;;;
