COD_BARRAS;PRODUTO_ID;NOMEORDER;FORNECEDOR;LOCALIZACAO;TRIBUTACAO;NCM;ALIQUOTA_NCM;CST_PIS;CST_COFINS;NATUREZA_RECEITA_PIS_COFINS;PADRAO_COMISSAO;DESCONTO_MAXIMO;QUANTIDADEORDER;TABELA;VENDA;PROMOCAO;VALOR_ULT_COMPRA;MARGEM;TOTAL_PRVENDA;TOTAL_PRPROMOCAO;TOTAL_PRCOMPRA
7895296210218;34078; ALBENDAZOL 40 MG/ML 10ML GOTAS NOVA QUIMICA;NOVA QUIMICA;;ST;30049063;0;;;;2,5;8;8;;10;0;1,77999997138977;461,797761838856;80;0;14,2399997711182
7894567890289;29376; ALOE VERA C/60 CAPS  UNI ERVAS;NATURE;;18 %;21069030;0;49;49;   ;0,5;8;1;;29,0499992370605;0;15,0349998474121;93,2158266171234;29,0499992370605;0;15,0349998474121
7894916341301;29898; AMOX+CLAV 875MG/125MG C/20 CPR LEGRAND;LEGRAND;;ST;30041012;0;04;04;002;2,5;8;1;;109,75;0;46,2849998474121;137,117857538756;109,75;0;46,2849998474121
7899420503276;31429; ASEA HCT 40+12,5MG 30 CPS;SUPERA;;ST;30049079;0;;;;0,5;8;2;;92,2600021362305;0;65,5500030517578;40,7475176826195;184,520004272461;0;131,100006103516
7896699032360;30646; ASPIRADOR NASAL LOLLY SUCCAO UND;LOLLY;;ST;39249000;0;49;49;   ;0,5;8;2;;33,9500007629395;0;19,2350006103516;76,5011681084576;67,9000015258789;0;38,4700012207031
7896637033954;32168; ATENTAH 18MG C/30 CAPS;APSEN;;ST;30049039;0;;;;0,5;8;3;;59,6399993896484;0;45,2162017822266;31,8996223453062;178,919998168945;0;135,64860534668
7896637033961;31022; ATENTAH 25MG C/30 CAPS;APSEN;;ST;30049039;0;04;04;002;0,5;8;8;;82,8600006103516;0;62,8300018310547;31,8796724424043;662,880004882813;0;502,640014648438
7896637033978;31097; ATENTAH 40MG C/30 CPS;APSEN;;ST;30049039;0;04;04;002;0,5;8;2;;132,580001831055;0;100,514999389648;31,9007139592228;265,160003662109;0;201,029998779297
7898270016592;31620; ATM MATERNA AUDACE C NATURAL ESCURO;DIVERSAS;;ST;61151021;0;;;;0,5;8;1;;262,5;0;175;50;262,5;0;175
7891010247263;30042; BAND-AID VARIADOS CURAT C/ 30;DIVERSAS;;ST;30051090;0;49;49;   ;0,5;8;115;;0,800000011920929;0;12,6800003051758;-93,6908517928475;92,0000013709068;0;1458,20003509521
7898671428239;30977; BATOM LIQUIDO MOOD HB566S2BX SATIS RUBY;RUBYROSE;;ST;33041000;0;04;04;002;0,5;8;5;;14,1499996185303;0;9,42829990386963;50,0800755470531;70,7499980926514;0;47,1414995193481
7891317026554;29118; BEDOZE SOL INJ 1 AMP 5MG/ML  ;EUROFARMA;;ST;30045030;0;04;04;002;0,5;8;10;;24,5;0;15,8037004470825;55,0269829653907;245;0;158,037004470825
7891222700846;29380; BERINGELA PURA C/60  CAPS UNI ERVAS;DIVERSAS;;18 %;21069030;0;49;49;   ;0,5;8;2;;25;0;15,5200004577637;61,0824694756635;50;0;31,0400009155273
7898410314038;32360; BODY SPLASH ATHINA 200ML;DIVERSAS;;ST;33072010;0;;;;0,5;8;1;;22;0;13,3999996185303;64,1791091514448;22;0;13,3999996185303
7896019602105;2598; BOMBOM OURO BRANCO UN;DIVERSAS;;ST;19053200;;49;49;   ;0,5;8;43;;1,5;0;0,980000019073486;53,061221510805;64,5;0;42,1400008201599
7891008114126;5746; BOMBOM SERENATA DE AMOR;DIVERSAS;;ST;19053200;;49;49;   ;0,5;8;83;;1,5;0;1,00279998779297;49,5811745372378;124,5;0;83,2323989868164
7896112129363;25934; BRIMONIDINA TART 2MG/ML 5ML ;TEUTO;;ST;30049069;0;04;04;002;2,5;8;2;;21,4500007629395;0;25,2231998443604;-14,9592403212257;42,9000015258789;0;50,4463996887207
